LFC|139 LEY Federal de Cinematografía DOF 29/12/1992 Nueva declaratoria de inconstitucionalidad Notificación 01/09/2025 Sentencia SCJN
LFCC_200120|053 LEY de Fomento a la Confianza Ciudadana DOF 20/01/2020 Sin reforma
LFCDO|136 LEY Federal contra la Delincuencia Organizada DOF 07/11/1996 Nueva reforma DOF 28/11/2025
LFCE|140 LEY Federal de Competencia Económica DOF 23/05/2014 Nueva reforma DOF 14/11/2025
LFCPo_190521|141 LEY Federal de Consulta Popular DOF 14/03/2014 DOF 19/05/2021
LFCPQ|174 LEY Federal para el Control de Precursores Químicos, Productos Químicos Esenciales y Máquinas para Elaborar Cápsulas, Tabletas y/o Comprimidos DOF 26/12/1997 DOF 03/05/2023
LFCSQ|175 LEY Federal para el Control de Sustancias Químicas Susceptibles de Desvío para la Fabricación de Armas Químicas DOF 09/06/2009 Nueva reforma DOF 14/11/2025
LFD|145 LEY Federal de Derechos DOF 31/12/1981 Nuevas cantidades DOF 28/12/2025
LFDA|170 LEY Federal del Derecho de Autor DOF 24/12/1996 Nueva reforma DOF 15/01/2026
LFDC|150 LEY Federal de los Derechos del Contribuyente DOF 23/06/2005 Sin reforma
LFDEAPD|143 LEY Federal de Declaración Especial de Ausencia para Personas Desaparecidas DOF 22/06/2018 DOF 01/04/2024
LFDefP|144 LEY Federal de Defensoría Pública DOF 28/05/1998 DOF 01/04/2024
LFEA|051 LEY de Firma Electrónica Avanzada DOF 11/01/2012 Nueva reforma DOF 14/11/2025
LFEP|149 LEY Federal de las Entidades Paraestatales DOF 14/05/1986 DOF 16/07/2025
LFFAOSC|147 LEY Federal de Fomento a las Actividades Realizadas por Organizaciones de la Sociedad Civil DOF 09/02/2004 DOF 01/04/2024
LFFMAA|176 LEY Federal para el Fomento de la Microindustria y la Actividad Artesanal DOF 26/01/1988 DOF 27/03/2023
LFFPMN_130420|177 LEY Federal para el Fomento y Protección del Maíz Nativo DOF 13/04/2020 Sin reforma
LFGR|073 LEY de la Fiscalía General de la República DOF 20/05/2021 Nueva reforma DOF 14/11/2025
LFI|057 LEY de Fondos de Inversión (Antes "Ley de Sociedades de Inversión" ) DOF 04/06/2001 Nueva reforma DOF 14/11/2025
LFISAN|171 LEY Federal del Impuesto sobre Automóviles Nuevos DOF 30/12/1996 Nueva reforma DOF 28/12/2025
LFIV_230518|054 LEY de Fomento a la Industria Vitivinícola DOF 23/05/2018 Sin reforma
LFLL|055 LEY de Fomento para la Lectura y el Libro DOF 24/07/2008 DOF 29/11/2023
LFMPED|111 LEY del Fondo Mexicano del Petróleo para la Estabilización y el Desarrollo DOF 11/08/2014 DOF 18/03/2025
LFMZAAH|183 LEY Federal sobre Monumentos y Zonas Arqueológicos, Artísticos e Históricos DOF 06/05/1972 Nueva reforma DOF 14/11/2025
LFPA|153 LEY Federal de Procedimiento Administrativo DOF 04/08/1994 Nueva reforma DOF 14/11/2025
